,paragraph,error_message,polarity_class,polarity_score,emotion
0,আওয়ামী লীগ ভোট চোর আওয়ামী পতন চাই,,stronglyNegative,-0.9991740226745606,"{""neutral"":0.0005518239340744913,""happy"":0.0006028026691637933,""anger/disgust"":0.9977021813392639,""sadness"":0.006628598086535931,""surprise"":0.000510525715071708,""fear"":0.00022271109628491104}"
1,ঢাকা কুমিল্লা,,neutral,0.1999819040298462,"{""neutral"":0.9988032579421997,""happy"":0.0007174292113631964,""anger/disgust"":0.0005326317041181028,""sadness"":0.0001984275586437434,""surprise"":0.00028393452521413565,""fear"":0.00013599755766335875}"
2,এইডা লাখো মানুষ,,stronglyPositive,0.7566508531570435,"{""neutral"":0.1823209971189499,""happy"":0.33471283316612244,""anger/disgust"":0.04056096076965332,""sadness"":0.007444390561431646,""surprise"":0.4213930666446686,""fear"":0.005740426946431398}"
3,এগিয়ে জান সফল ইনশাআল্লাহ,,stronglyPositive,0.9999375343322756,"{""neutral"":0.029964102432131767,""happy"":0.9809598922729492,""anger/disgust"":0.0006788090104237199,""sadness"":0.0004277302941773087,""surprise"":0.00033106995397247374,""fear"":0.00015950000670272857}"
4,আরে পলোগ্রাউন্ডে বৃষ্টি,,weaklyNegative,-0.599743103981018,"{""neutral"":0.3097646236419678,""happy"":0.06797745823860168,""anger/disgust"":0.03975074365735054,""sadness"":0.05392103269696236,""surprise"":0.41973066329956055,""fear"":0.16571959853172302}"
5,বিএনপি এগিয়ে সকল প্রতিকূলতা উপেক্ষা,,weaklyPositive,0.5993430376052857,"{""neutral"":0.15461596846580505,""happy"":0.8408784866333008,""anger/disgust"":0.008227124810218811,""sadness"":0.0023464765399694443,""surprise"":0.029894690960645676,""fear"":0.0006317002698779106}"
6,এম পির লোক দেখলে আওয়ামী লীগ সরকার দলের কাউয়া কাদের পাগল আরো পাগল হয়ে,,stronglyNegative,-0.9999207735061646,"{""neutral"":0.00036637188168242574,""happy"":0.0002701263583730906,""anger/disgust"":0.9986718893051147,""sadness"":0.004217778332531452,""surprise"":0.00042244503856636584,""fear"":0.00010229400504613295}"
7,শুষ্ঠ নির্বাচন জনগণ ভোট প্রশাসন হাহাহা,,stronglyNegative,-0.9983931064605712,"{""neutral"":0.00579386530444026,""happy"":0.023145534098148346,""anger/disgust"":0.978601336479187,""sadness"":0.024224523454904556,""surprise"":0.001801797072403133,""fear"":0.0008867646101862192}"
8,পুলিশ জনগণের বিরুদ্ধে তারাও দেশদ্রোহী হয়ে,,stronglyNegative,-0.9998395681381226,"{""neutral"":0.0033951951190829277,""happy"":0.0017114784568548203,""anger/disgust"":0.9569891691207886,""sadness"":0.07934746146202087,""surprise"":0.001863850629888475,""fear"":0.01007080078125}"
9,জালিমের ক্ষমতা চিরস্থায়ী ইতিহাস সাক্ষী জালিমের পরাজিতা সুনিশ্চিত ভারত বলছি তোমাদের সরকার জুলুম জনতার জালিম ক্ষমতা চিরস্থায়ী ইনশাআল্লাহ,,stronglyNegative,-0.9997491598129272,"{""neutral"":0.0027033414226025343,""happy"":0.005458270199596882,""anger/disgust"":0.9807495474815369,""sadness"":0.06404773145914078,""surprise"":0.0024743173271417618,""fear"":0.005560079589486122}"
